domain,bias,factual_reporting
dfrlab.org,,VERY LOW
sustainablepulse.com,,LOW
bcaresearch.com,,HIGH
conservativeammo.com,,LOW
beacontn.org,,MIXED
5pillarsuk.com,,MOSTLY FACTUAL
answersingenesis.org,,LOW
rationalwiki.org,,""",""author"":{""@type"":""Person"",""name"":""Media Bias Fact Check"",""url"":""https:\/\/mediabiasfactcheck.com\/author\/davevanzandt\/"",""description"":""Media Bias Fact Check was founded by Dave Van Zandt in 2015. Dave is a registered Non-Affiliated voter who values evidence-based reporting.""}}"
stpete4peace.org,,MIXED
carpentermediagroup.com,,HIGH
newleftreview.org,,HIGH
irena.org,,HIGH
corporate.nationalworld.com,,HIGH
annualreviews.org,,HIGH
scottritter.substack.com,,MIXED
dhs.gov,,LOW
findlaypublishing.com,,MIXED
courthousenews.com,,MIXED
mdpi.com,,MOSTLY FACTUAL
canadafactcheck.ca,,MOSTLY FACTUAL
csis.org,,VERY HIGH
dcwitness.org,,VERY HIGH
frontiersin.org,,MOSTLY FACTUAL
c4ss.org,,MOSTLY FACTUAL
nejm.org,,VERY HIGH
healio.com,,HIGH
peoplesdispatch.org,,MIXED
legalreader.com,,MIXED
api.newsguardtech.com,,VERY LOW
theneweuropean.co.uk,,MOSTLY FACTUAL
breakthroughnews.org,,MIXED
get.crtv.com,,MIXED
biologicaldiversity.org,,HIGH
cell.com,,HIGH
rferl.org,,MOSTLY FACTUAL
researchoutreach.org,,HIGH
